main_reference_number,supplement_reference_number,citation_key,title,venue,year,publication_url,bibtex_status,bibtex_source
1,16,wang-etal-2023-self-instruct,Self-Instruct: Aligning Language Models with Self-Generated Instructions,Proceedings of the 61st Annual Meeting of the Association for Computational Linguistics (Volume 1: Long Papers),2023,https://aclanthology.org/2023.acl-long.754/,source export,https://aclanthology.org/2023.acl-long.754.bib
2,,NEURIPS2022_b1efde53,Training language models to follow instructions with human feedback,Advances in Neural Information Processing Systems,2022,https://proceedings.neurips.cc/paper_files/paper/2022/file/b1efde53be364a73914f58805a001731-Paper-Conference.pdf,source export,https://proceedings.neurips.cc/paper_files/paper/19175-/bibtex
3,1,hu2025automated,Automated Design of Agentic Systems,ICLR,2025,https://openreview.net/forum?id=t9U3LW7JVX,source export,review40_official.bib
4,2,zelikman2022star,STaR: Bootstrapping Reasoning With Reasoning,NeurIPS,2022,https://openreview.net/forum?id=_3ELRdg2sgI,source export,review40_official.bib
5,3,pmlr-v235-yuan24d,Self-Rewarding Language Models,Proceedings of the 41st International Conference on Machine Learning,2024,https://proceedings.mlr.press/v235/yuan24d.html,source export,supplemental_sources/self_rewarding.bib
6,4,pmlr-v235-fernando24a,Promptbreeder: Self-Referential Self-Improvement via Prompt Evolution,Proceedings of the 41st International Conference on Machine Learning,2024,https://proceedings.mlr.press/v235/fernando24a.html,source export,supplemental_sources/promptbreeder.bib
7,5,zhang2026darwin,"Darwin G\""odel Machine: Open-Ended Evolution of Self-Improving Agents",The Fourteenth International Conference on Learning Representations,2026,https://openreview.net/forum?id=pUpzQZTvGY,source export,supplemental_sources/dgm.bib
8,105,tao_survey2024,A Survey on Self-Evolution of Large Language Models,arXiv preprint,2024,https://arxiv.org/abs/2404.14387,TEMP manual record,https://arxiv.org/abs/2404.14387
9,,gao2026a,"A Survey of Self-Evolving Agents: What, When, How, and Where to Evolve on the Path to Artificial Super Intelligence",Transactions on Machine Learning Research,2026,https://openreview.net/forum?id=CTr3bovS5F,source export,supplemental_sources/gao_survey.bib
10,106,fang_survey2025,A Comprehensive Survey of Self-Evolving AI Agents: A New Paradigm Bridging Foundation Models and Lifelong Agentic Systems,arXiv preprint,2025,https://arxiv.org/abs/2508.07407,TEMP manual record,https://arxiv.org/abs/2508.07407
11,107,chen_survey2026,Recursive Self-Improvement in AI: From Bounded Self-Refinement to Autonomous Research Loops,arXiv preprint,2026,https://arxiv.org/abs/2607.07663,TEMP manual record,https://arxiv.org/abs/2607.07663
12,108,wang2026diving,Diving into Reliable Self-Evolving Agents: A Survey,OpenReview Archive preprint,2026,https://openreview.net/forum?id=CGO1hDTHNe,TEMP manual record,https://openreview.net/forum?id=CGO1hDTHNe
13,109,wu2026ai4ai,"AI4AI Survey: From Long-Horizon Agents to Recursive Self-Improvement---Definitions, Reliable Horizons, and Open Problems",Preprints.org preprint,2026,https://www.preprints.org/manuscript/202608.2108,TEMP manual record,https://www.preprints.org/manuscript/202608.2108
14,65,cheng2025language,Language Modeling by Language Models,NeurIPS,2025,https://openreview.net/forum?id=VrCdsZBbIg,source export,review40_official.bib
15,77,Gao_2024_CVPR,CLOVA: A Closed-LOop Visual Assistant with Tool Usage and Update,CVPR,2024,https://openaccess.thecvf.com/content/CVPR2024/html/Gao_CLOVA_A_Closed-LOop_Visual_Assistant_with_Tool_Usage_and_Update_CVPR_2024_paper.html,source export,cvf
16,,wu2024autogen,AutoGen: Enabling Next-Gen LLM Applications via Multi-Agent Conversations,COLM,2024,https://openreview.net/forum?id=BAakY1hNKS,source export,https://openreview.net/forum?id=BAakY1hNKS
17,,hong2024metagpt,MetaGPT: Meta Programming for A Multi-Agent Collaborative Framework,ICLR 2024 oral,2024,https://openreview.net/forum?id=VtmBAGCN7o,source export,https://openreview.net/forum?id=VtmBAGCN7o
18,,DBLP:conf/nips/YangJWLYNP24,SWE-agent: Agent-Computer Interfaces Enable Automated Software Engineering,NeurIPS 2024,2024,http://papers.nips.cc/paper_files/paper/2024/hash/5a7c947568c1b1328ccc5230172e1e7c-Abstract-Conference.html,source export,https://openreview.net/forum?id=30hggYAY0Z
19,,zhang2026selfharness,Self-Harness: Harnesses That Improve Themselves,arXiv,2026,https://arxiv.org/abs/2606.09498,source export,https://arxiv.org/bibtex/2606.09498
20,17,xu2024wizardlm,WizardLM: Empowering Large Pre-Trained Language Models to Follow Complex Instructions,ICLR 2024 poster,2024,https://openreview.net/forum?id=CfXh93NDgH,source export,https://openreview.net/forum?id=CfXh93NDgH
21,18,DBLP:conf/nips/SunSZZCCYG23,Principle-Driven Self-Alignment of Language Models from Scratch with Minimal Human Supervision,NeurIPS 2023,2023,http://papers.nips.cc/paper_files/paper/2023/hash/0764db1151b936aca59249e2c1386101-Abstract-Conference.html,source export,https://openreview.net/forum?id=zIC9C8F8W7
22,19,askari-etal-2025-solid,SOLID: Self-seeding and Multi-intent Self-instructing LLMs for Generating Intent-aware Information-Seeking Dialogs,Findings of NAACL,2025,https://aclanthology.org/2025.findings-naacl.357/,source export,acl_anthology
23,11,dong2025stp,STP: Self-play LLM Theorem Provers with Iterative Conjecturing and Proving,ICML,2025,https://openreview.net/forum?id=zWArMedNuW,source export,review40_official.bib
24,12,zhao2025absolute,Absolute Zero: Reinforced Self-play Reasoning with Zero Data,NeurIPS,2025,https://openreview.net/forum?id=neZSGqhxDa,source export,review40_official.bib
25,21,lin2026goedelproverv,Goedel-Prover-V2: Scaling Formal Theorem Proving with Scaffolded Data Synthesis and Self-Correction,ICLR,2026,https://openreview.net/forum?id=j4C0nALrgK,source export,openreview
26,24,kung-etal-2023-active,Active Instruction Tuning: Improving Cross-Task Generalization by Training on Prompt Sensitive Tasks,EMNLP,2023,https://aclanthology.org/2023.emnlp-main.112/,source export,acl_anthology
27,25,li-etal-2025-teaching,Teaching According to Talents! Instruction Tuning LLMs with Competence-Aware Curriculum Learning,Findings of EMNLP,2025,https://aclanthology.org/2025.findings-emnlp.629/,source export,acl_anthology
28,27,Zhang2026ap2o,AP2O-Coder: Adaptively Progressive Preference Optimization for Reducing Compilation and Runtime Errors in LLM-Generated Code,AAAI,2026,https://doi.org/10.1609/aaai.v40i41.40771,source export,review40_official.bib
